Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
3.58,48.27,7.05,0.15,0.67,5.61,114,1677,247,13.59,0.62,0.4,60.7,blackgram
3.08,11.11,5.3,0.12,0.38,5.5,109,631,127,5.5,0.39,0.28,81.44,blackgram
2.69,21.11,6.17,0.1,0.47,5.61,65,1374,270,4.14,0.38,0.33,81.9,blackgram
4.67,21.32,6.83,0.25,0.84,4.39,90,2321,436,19.41,0.59,0.5,60.21,blackgram
3.67,39.4,6.85,0.18,0.63,5.62,124,1774,305,10.43,0.49,0.45,52.88,blackgram
4.41,31.46,6.66,0.14,0.69,9.4,143,1479,273,10.22,0.94,0.5,84.18,blackgram
2.85,25.25,7.62,0.29,0.68,4.55,96,1612,264,51.11,0.63,0.43,35.13,blackgram
4.24,26.0,7.86,0.32,0.65,6.9,125,3587,619,35.21,0.68,0.68,52.88,blackgram
3.54,28.54,7.9,0.24,0.7,24.14,114,3438,438,21.15,0.78,0.66,96.6,blackgram
3.66,35.16,7.75,0.24,0.56,11.86,97,2979,461,19.6,1.3,0.58,93.96,blackgram
5.06,27.34,7.85,0.34,0.72,8.3,144,4246,867,24.58,0.84,0.93,69.04,blackgram
4.75,26.2,5.2,0.04,0.7,4.98,57,659,91,2.78,1.19,0.38,174.01,blackgram
