Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
4.52,12.53,8.45,0.78,0.7,38.2,235,3258,652,101.1,2.47,2.36,42.62,cotton
3.63,12.11,8.52,0.68,0.69,39.3,250,3325,711,102.26,1.43,2.36,47.75,cotton
3.42,13.62,8.51,0.7,0.79,36.93,237,3251,648,106.06,1.2,2.19,44.32,cotton
1.75,13.42,8.44,2.15,0.67,15.42,198,2561,782,315.37,0.48,2.7,12.72,cotton
1.46,20.22,8.58,0.97,0.56,4.86,179,2651,621,112.27,0.56,2.35,11.86,cotton
1.74,19.72,9.05,0.51,0.56,26.77,196,2408,484,35.19,0.53,2.32,20.54,cotton
0.74,7.39,9.32,0.56,0.11,1.25,122,2026,168,11.11,0.48,1.25,3.16,cotton
1.04,24.48,7.07,0.05,0.28,0.67,141,4367,556,4.38,0.28,0.58,7.07,cotton
1.2,19.66,7.43,0.08,0.23,1.42,125,2006,272,4.05,0.29,0.45,4.72,cotton
1.08,11.93,9.08,1.45,0.26,1.58,189,2888,418,63.94,0.35,3.06,4.59,cotton
0.52,5.94,8.98,0.19,0.14,0.67,90,2027,149,5.07,0.2,0.46,1.21,cotton
0.56,8.82,8.15,0.23,0.29,4.36,170,2782,136,8.99,0.5,0.62,0.73,cotton
0.88,7.41,9.22,1.01,0.05,0.9,119,1823,161,51.97,0.49,1.43,4.07,cotton
0.56,5.33,8.88,0.16,0.12,0.79,98,2237,161,2.35,0.23,0.58,1.48,cotton
0.75,5.44,8.7,0.29,0.11,1.86,130,1757,181,5.21,0.28,0.72,3.52,cotton
1.95,17.68,7.85,2.48,0.22,5.75,109,2182,571,79.38,0.47,2.43,17.32,cotton
1.84,12.7,8.46,0.77,0.62,20.08,100,2054,462,29.9,0.67,2.95,36.01,cotton
2.42,16.74,8.65,0.9,0.71,35.09,248,1770,507,35.29,0.84,4.58,34.11,cotton
2.06,11.82,8.0,1.04,0.77,17.02,144,1849,428,62.95,0.66,3.19,23.89,cotton
1.74,22.74,8.14,0.31,0.51,10.43,228,2691,342,12.85,0.82,1.2,4.35,cotton
0.76,5.9,8.4,0.22,0.3,14.53,103,1656,229,5.7,0.69,1.01,6.49,cotton
2.18,4.78,8.35,1.62,0.46,32.1,87,1530,500,44.03,1.04,3.04,32.87,cotton
0.72,5.45,8.3,0.22,0.36,14.06,103,1466,193,6.05,0.4,1.0,6.24,cotton
1.85,11.74,8.7,1.56,0.3,11.0,131,1738,306,89.33,0.63,2.14,22.63,cotton
2.32,12.48,9.55,2.55,0.34,22.13,126,1039,197,81.24,0.86,3.69,44.12,cotton
1.28,7.34,8.45,0.51,0.55,32.36,79,1287,284,15.24,0.99,1.81,20.41,cotton
1.15,20.03,8.15,0.22,0.29,4.55,141,1289,250,5.89,0.34,0.83,3.43,cotton
1.5,4.44,8.4,0.68,0.5,36.75,76,1236,270,18.35,1.24,1.82,26.95,cotton
1.89,21.16,8.37,0.8,0.47,16.44,128,2110,497,43.52,1.19,2.3,21.38,cotton
0.88,11.82,7.81,0.08,0.17,1.06,64,762,154,3.03,0.25,0.49,4.34,cotton
1.9,8.14,8.05,1.11,0.47,13.28,123,1996,460,25.86,2.58,2.54,25.29,cotton
1.78,25.35,6.37,0.09,0.18,1.68,70,772,171,3.24,0.48,0.28,15.16,cotton
1.11,12.89,7.31,0.1,0.25,1.53,90,696,159,3.98,0.42,0.46,5.87,cotton
1.07,12.09,7.32,0.1,0.4,1.78,55,1260,131,6.66,0.37,0.69,5.68,cotton
1.58,8.04,8.4,0.86,0.52,39.1,93,1783,445,27.27,0.79,2.09,24.5,cotton
1.59,19.17,8.17,1.61,0.44,20.99,123,1948,422,34.77,2.58,2.22,23.58,cotton
1.69,7.45,8.32,0.55,0.52,20.8,67,1624,379,24.27,0.75,1.82,40.94,cotton
0.68,7.57,8.62,0.18,0.28,5.1,63,1470,235,4.05,0.23,1.05,5.38,cotton
1.77,15.2,8.04,0.29,0.49,12.14,98,4662,490,36.95,0.34,0.63,6.23,cotton
1.09,7.12,8.54,0.21,0.25,3.51,179,5183,1229,7.75,0.35,1.1,4.19,cotton
1.26,10.6,8.48,0.39,0.31,4.55,146,4507,779,17.28,0.9,1.19,4.85,cotton
1.06,8.45,8.07,0.25,0.3,6.22,199,5593,1199,9.81,0.33,1.02,3.71,cotton
3.28,7.71,7.93,0.57,0.54,25.75,198,4309,1227,32.72,0.81,1.57,30.56,cotton
2.34,15.22,7.6,0.16,0.43,18.01,164,2732,603,8.63,0.54,0.76,5.26,cotton
1.66,9.91,8.76,0.38,0.29,4.7,146,3519,949,22.93,0.33,1.68,6.34,cotton
1.77,21.2,8.41,0.7,0.41,10.66,276,3958,966,49.54,0.49,2.11,7.11,cotton
3.53,13.43,7.85,0.2,0.46,20.2,151,2907,856,15.15,0.75,0.85,4.03,cotton
1.55,9.04,7.8,0.24,0.37,9.99,104,4560,503,15.45,0.26,0.64,4.73,cotton
2.32,19.01,8.3,0.28,0.3,9.78,110,2641,384,10.6,0.3,1.36,8.79,cotton
1.26,13.54,8.21,0.39,0.43,13.22,179,2668,359,32.45,0.51,0.76,3.92,cotton
1.33,11.25,8.5,0.26,0.33,12.39,124,2745,364,16.92,0.46,1.1,4.82,cotton
