Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
2.21,7.57,7.98,0.55,0.48,29.0,341,3827,881,18.12,1.17,0.86,4.04,jonna
1.7,16.44,7.76,1.15,0.56,27.3,265,8549,574,60.41,0.94,1.27,3.36,jonna
2.16,9.69,8.25,0.14,0.54,12.9,166,8114,490,5.8,0.7,0.66,5.68,jonna
2.18,18.88,7.62,1.36,0.55,30.6,308,9073,626,14.85,2.39,1.13,8.1,jonna
3.43,13.67,8.36,0.18,0.63,22.0,229,7524,519,7.68,1.21,1.0,5.2,jonna
5.59,26.67,7.34,1.59,0.82,39.3,422,8779,592,34.66,1.23,1.7,5.6,jonna
1.94,6.79,8.06,0.44,0.61,15.6,284,7618,540,14.24,0.79,1.04,3.57,jonna
1.54,8.36,7.9,0.59,0.46,21.5,162,6240,531,24.98,1.7,1.31,4.19,jonna
1.9,8.8,7.79,0.8,0.46,19.6,161,8713,604,22.3,0.61,0.97,3.5,jonna
1.94,11.56,8.18,0.19,0.5,11.0,201,8100,577,9.65,0.91,0.8,6.24,jonna
2.57,14.93,8.04,0.3,0.61,23.8,329,8419,433,13.98,1.61,1.09,5.1,jonna
1.95,9.84,8.12,0.94,0.54,17.3,549,5927,516,52.03,0.76,2.06,2.95,jonna
2.12,6.76,8.08,0.57,0.49,12.4,129,7645,592,31.74,0.77,1.25,5.04,jonna
1.9,6.67,8.17,0.36,0.52,30.5,224,8163,715,20.09,1.05,1.35,6.06,jonna
2.88,9.71,8.0,0.63,0.58,16.8,186,8221,856,26.82,0.85,1.37,6.98,jonna
2.4,8.84,8.06,0.43,0.57,26.6,188,7787,594,38.19,0.71,1.03,7.71,jonna
1.16,5.07,7.96,0.29,0.55,13.6,193,6876,377,11.15,0.4,0.89,3.96,jonna
1.72,7.07,8.04,0.3,0.58,18.5,210,6222,555,24.87,0.61,0.94,17.48,jonna
1.91,4.65,8.18,0.38,0.66,31.2,237,4334,325,19.38,0.64,1.12,4.68,jonna
1.86,4.41,8.12,0.43,0.53,8.7,122,970,111,40.53,0.61,0.87,9.75,jonna
2.73,7.16,8.23,0.63,0.54,20.6,150,6523,796,59.48,1.85,2.5,4.6,jonna
1.5,4.57,8.35,0.25,0.37,9.9,228,7043,832,12.11,0.46,1.19,3.13,jonna
1.2,5.25,8.18,0.38,0.42,15.1,252,6760,990,23.3,0.85,1.39,5.92,jonna
1.3,6.2,8.28,0.36,0.32,4.1,107,7545,651,26.17,0.41,1.11,5.92,jonna
1.7,7.15,8.5,0.38,0.35,8.0,238,5082,740,32.12,0.35,1.73,8.37,jonna
1.0,4.28,8.21,0.44,0.47,10.8,275,6447,745,22.13,0.44,1.07,1.76,jonna
1.32,7.74,8.2,0.42,0.42,13.3,286,7009,810,28.08,0.73,1.37,2.7,jonna
1.55,11.81,8.51,0.38,0.38,8.0,286,5821,778,27.77,0.58,1.72,4.08,jonna
1.06,2.18,8.16,0.45,0.32,7.1,160,7083,908,37.43,0.62,1.02,2.6,jonna
1.79,11.04,8.26,0.31,0.55,27.2,297,6660,757,21.4,1.62,1.58,7.23,jonna
1.25,3.51,8.4,0.21,0.36,6.8,137,7333,944,19.68,0.37,1.36,2.98,jonna
1.91,4.72,8.31,0.31,0.36,17.3,151,6377,1162,38.21,0.68,1.01,12.89,jonna
1.48,6.05,8.1,3.1,0.45,20.1,291,5823,925,166.5,2.36,1.83,2.82,jonna
1.55,7.72,8.13,0.27,0.51,16.2,219,8018,581,15.78,0.93,1.03,4.32,jonna
1.35,4.96,8.12,0.51,0.48,12.5,221,7936,759,32.88,0.86,1.23,2.83,jonna
